"","wave","lab_sta_cur","mean","ymax","ymin","n"
"1",6,"(Un)selbststaendig erwerbstaetig",2.56,2.688,2.439,1490
"2",7,"(Un)selbststaendig erwerbstaetig",2.65,2.76,2.537,1465
"3",8,"(Un)selbststaendig erwerbstaetig",2.51,2.621,2.406,1442
"4",9,"(Un)selbststaendig erwerbstaetig",2.64,2.738,2.542,1451
"5",10,"(Un)selbststaendig erwerbstaetig",2.55,2.65,2.448,1452
"6",11,"(Un)selbststaendig erwerbstaetig",2.56,2.655,2.457,1449
"7",12,"(Un)selbststaendig erwerbstaetig",2.61,2.711,2.512,1460
"8",13,"(Un)selbststaendig erwerbstaetig",2.7,2.785,2.616,1471
"9",14,"(Un)selbststaendig erwerbstaetig",2.59,2.675,2.51,1474
"10",15,"(Un)selbststaendig erwerbstaetig",2.53,2.629,2.44,1521
"11",16,"(Un)selbststaendig erwerbstaetig",2.52,2.611,2.424,1594
"12",17,"(Un)selbststaendig erwerbstaetig",2.51,2.62,2.396,1540
"13",18,"(Un)selbststaendig erwerbstaetig",2.51,2.612,2.412,1501
"14",19,"(Un)selbststaendig erwerbstaetig",2.54,2.64,2.439,1545
"15",20,"(Un)selbststaendig erwerbstaetig",2.58,2.676,2.482,1512
"16",21,"(Un)selbststaendig erwerbstaetig",2.58,2.677,2.479,1514
"17",22,"(Un)selbststaendig erwerbstaetig",2.54,2.64,2.441,1459
"18",23,"(Un)selbststaendig erwerbstaetig",2.47,2.573,2.371,1446
"19",24,"(Un)selbststaendig erwerbstaetig",2.47,2.561,2.377,1449
"20",6,"in Kurzarbeit",2.42,2.568,2.274,1490
"21",7,"in Kurzarbeit",2.32,2.491,2.148,1465
"22",8,"in Kurzarbeit",2.36,2.525,2.186,1442
"23",9,"in Kurzarbeit",2.37,2.563,2.179,1451
"24",10,"in Kurzarbeit",2.24,2.43,2.046,1452
"25",11,"in Kurzarbeit",2.2,2.425,1.98,1449
"26",12,"in Kurzarbeit",2.4,2.588,2.216,1460
"27",13,"in Kurzarbeit",2.25,2.52,1.98,1471
