"","wave","fin_aus_akt_f","prop","ymax","ymin","n"
"1",6,"sehr gut zurechtkommen",0.17,0.189,0.152,1551
"2",6,"gut zurechtkommen",0.42,0.444,0.395,1551
"3",6,"teils-teils",0.23,0.256,0.214,1551
"4",6,"nur schwer zurechtkommen",0.09,0.102,0.074,1551
"5",6,"nur sehr schwer zurechtkommen",0.06,0.067,0.044,1551
"6",6,"Weiss nicht",0.01,0.009,0.002,1551
"7",6,"keine Angabe",0.03,0.034,0.018,1551
"8",7,"sehr gut zurechtkommen",0.15,0.17,0.134,1517
"9",7,"gut zurechtkommen",0.42,0.449,0.399,1517
"10",7,"teils-teils",0.24,0.264,0.221,1517
"11",7,"nur schwer zurechtkommen",0.1,0.113,0.083,1517
"12",7,"nur sehr schwer zurechtkommen",0.05,0.063,0.041,1517
"13",7,"Weiss nicht",0.01,0.014,0.004,1517
"14",7,"keine Angabe",0.02,0.03,0.015,1517
"15",8,"sehr gut zurechtkommen",0.11,0.125,0.093,1501
"16",8,"gut zurechtkommen",0.42,0.443,0.393,1501
"17",8,"teils-teils",0.27,0.292,0.247,1501
"18",8,"nur schwer zurechtkommen",0.12,0.132,0.1,1501
"19",8,"nur sehr schwer zurechtkommen",0.05,0.064,0.041,1501
"20",8,"Weiss nicht",0.01,0.013,0.004,1501
"21",8,"keine Angabe",0.03,0.035,0.019,1501
"22",9,"sehr gut zurechtkommen",0.14,0.157,0.122,1501
"23",9,"gut zurechtkommen",0.43,0.456,0.406,1501
"24",9,"teils-teils",0.24,0.266,0.223,1501
"25",9,"nur schwer zurechtkommen",0.1,0.117,0.087,1501
"26",9,"nur sehr schwer zurechtkommen",0.05,0.063,0.041,1501
"27",9,"Weiss nicht",0,0.008,0.001,1501
"28",9,"keine Angabe",0.03,0.035,0.019,1501
"29",10,"sehr gut zurechtkommen",0.12,0.14,0.107,1504
"30",10,"gut zurechtkommen",0.44,0.461,0.411,1504
"31",10,"teils-teils",0.25,0.277,0.233,1504
"32",10,"nur schwer zurechtkommen",0.09,0.109,0.08,1504
"33",10,"nur sehr schwer zurechtkommen",0.06,0.071,0.047,1504
"34",10,"Weiss nicht",0.01,0.009,0.002,1504
"35",10,"keine Angabe",0.03,0.035,0.019,1504
